DBSN,PID,SSN,AnnotationID,GTA,GTO,Notes,ST,ET,S,G,Len,LTL,Notes
504,54,24,mmi5Ld1i3ipd4ehJw3cdykYPdvIYLeDn,add,oil,pour oil into pan,405527,408223,1,1,2.7,,
505,54,25,ozUm3TMFgZgY72zxq95IAhtnaJQ54Xf7,add,veges,"grab veggies, put veggies in pan",415633,423730,1,1,8.1,,
506,54,26,crvwNcdfVsg976hEjKMlXZJk3Su4ipBf,add,veges,turn aroud,427880,430256,1,1,2.4,,
507,54,27,mK22kuxlGomKqXr5faHkNoFwRe3A4PTs,add,veges,put veggies in pan,430941,434704,1,1,3.8,,
508,54,28,gQKPGeQfhulO8eb0dqTFVxSRqVgyaB5R,Turn,salt,turn around,444710,447643,1,1,2.9,,
509,54,29,7y9LGDyzfZOT5bemxx2l2g8P73xXf8y2,add,salt,grab salt,447709,450059,1,1,2.4,,
510,54,30,boEUN7Cw2ZFtrmJu9pGhJGMFEr6XVVA8,add,salt,grab salt,450120,452558,1,1,2.4,,
511,54,31,eXU3xalCfmoQoPQ2lShkTTRxnlLw6n62,add,salt,put salt in pan,452691,456099,1,1,3.4,,
512,54,32,81k1DVKxUCAHYCHvfuX7jHuwYG7M9an9,add,salt,reference to salt,456796,459312,1,1,2.5,,
513,54,33,MIMFE7DwKemB4mP756KHJWMuZm491CwF,Turn,pepper,turn around,464053,466688,1,1,2.6,,
514,54,34,Qzx2IgcbOohIXsUDf8qDjQsBpXEUYvNG,add,pepper,"grab pepper, grind pepper into pan",466895,471633,1,1,4.7,,
515,54,35,H9Yqn3gYpOYUlcc8hKVaXHcRpLN5RQb8,add,pepper,reference to grinding,474536,476577,0,1,2,,
516,54,36,EboB6QYOD7hagSj77Q0vAZAv4NASVPMW,Turn,veges,turn around,486185,489185,1,1,3,,
517,54,37,icIfZvpidcS5SytNjoWqDzu7fNYH6IL5,mix,veges,grab spoon,489445,492246,1,1,2.8,,
518,54,38,GzAwur2mecg0SPhAiQbLt4EazaXaiq3L,mix,veges,mix veggies,492343,496049,1,1,3.7,,
519,54,39,hA9fSV7FS4mMjOqbWQup8rGRrXdyQl0i,mix,veges,reference to mixing,502552,504821,0,1,2.3,,
520,54,40,Rwgn1IrcY9kd4Qv8WKmIWx5w6C5Np8z1,cut,potato,grab potato,513484,516523,1,1,3,,
521,54,41,o6lAlLPOKlfcepChB1ldc2Pr73GoOdxd,cut,potato,chop potato,517058,519591,1,1,2.5,,
522,54,42,QaN94qIkmZTYSRPginjdVxZ6emsTaYuX,cut,potato,reference to chopping,526967,530450,0,1,3.5,,
523,54,43,UtQiOnhwdCmJYbeNqv3TuHSolo0yVYON,cut,carrot,chop carrot,538817,542620,1,1,3.8,,
524,54,44,aIAJZoAuk6JWw54b5Pwf3tUBpXhhvEf2,cut,carrot,reference to chopping,548437,550548,0,1,2.1,,
525,54,45,cka2O17cUS4KTQii5c8bUecGmPwMXPPU,cut,celery,chop celery,555625,559386,1,1,3.8,,
526,54,46,XuS8Nz49GJotuv9wBlA1wqRCHBLjA7ot,Turn,lid,turn around,575678,578220,1,1,2.5,,
527,54,47,YpqYuHKR1TAY6WZp7ZE3sMgtlcDrSDOV,off,lid,remove lid from pot,578469,582084,1,1,3.6,,
528,54,48,nBkwaARu5cfGuq7caUaVJhIJfQpbhbgo,add,veges,grab veggies,593453,598049,1,1,4.6,,
529,54,49,ZzYE2HZS8NFZsZ09dW6okvzVbrrPzwu7,add,veges,put veggies in pot,598666,601366,1,1,2.7,,
530,54,50,nTObX3xDt5eTcDJLhrQI2zqwvjhukni0,add,veges,put veggies in pot,607321,610638,1,1,3.3,,
531,54,51,EsPezNW6xzk4nKfxGCOuKNazxtSTWiHM,Turn,gas,turn around,621892,624756,1,1,2.9,,
532,54,52,AmGhD6dOY142ljE4Io3zei9U0j0cCeWI,off,gas,turn off pan stove,625684,631266,1,1,5.6,,
533,54,53,0UkhDtKzxzHSwlK2JrfpbXk8IFk551cu,Turn,veges,turn around,639470,642272,1,0,2.8,,
534,54,54,YWsrj7VCVeFvcJwxvmsZNUpQ6hIilnIs,add,veges,"grab pan, put into bowl",642328,655261,1,1,12.9,,
535,54,55,IfhahcfMz5MT8l0DGi2wjmpNEa4Idhhz,add,veges,reference to bowl,657217,659177,0,1,2,,
536,54,56,MPcJsJHjUQs2CmihkJbrKSM66mCESotA,add,veges,reference to pan,659209,661150,1,1,1.9,,
537,54,57,AIYdHr7RYTLrkaoQ17453emxDLLCOKUN,Turn,spice,turn around,666145,668350,1,1,2.2,,
538,54,58,FRKEgGo36ve9MzJ2uFL3LJfK5mqap3r7,add,spice,put spices in pan,669389,675109,1,1,5.7,,
539,54,59,txNM3NNkuMtu8YeSC1ur7qx0gHQ5b2Yt,add,spice,reference to spices,677856,680187,0,1,2.3,,
540,54,60,pljpZDEHoq9p2WMmTlHH9Z8bKEu7zfGx,Turn,veges,turn around,691546,694047,1,0,2.5,,
541,54,61,SNxbylw8JwGplh5zeYv926ZlCCgm7tJt,Turn,veges,turn around,694652,697466,1,1,2.8,,
542,54,62,tlZzG0EJUCbygft3EE8FPunMgsjiaCth,mix,veges,"take spoon, mix veggies",697477,700873,1,1,3.4,,
543,54,63,yOUKSGvOEQxbgWPsnMlUf35ycFxOUGIk,on,lid,put lid on pan,722128,726391,1,1,4.3,,
544,54,64,j0Gkjzl4urMqvbnHxf5x1zEE8Wgx7c4D,off,gas,turn off stove,739504,741997,1,1,2.5,,
545,54,65,KNNXpmIFAMDokSPA5fX9uXP2KMqXIwsH,off,lid,take lid off pan,753064,756596,1,1,3.5,,
546,54,66,ZnLEx1ioelYB1GNMeBWC5vrI3B92xWmw,fetch,soup,"grab bowl, serve soup",768883,772869,1,1,4,,
547,54,67,8dXwTVziLXdUwIRv4VF8UlMvUNrT7Zgl,fetch,soup,reference to spoon,776632,778546,1,0,1.9,,
548,54,68,6KYsbVB0Cm8zRwCXFjdgA1VYIeZ804vv,fetch,soup,serve soup,781289,790615,1,1,9.3,,
549,54,69,MDYlcSx5MgEyPe6MGskKNDKa5SmazaoK,clean up,,put dishes in sink,815869,819783,1,1,3.9,,
550,54,70,tkdawRHcxsXR55gElUD196hAnHd9Fhhk,clean up,,"grab spoons, put spoon in sink, wash area",840893,846117,1,1,5.2,,
551,54,71,ASK0qhyNSRyg2WzHC1Mla4DstPOfVU7c,Turn,,turn around,847990,850837,1,1,2.8,,
552,54,72,dazv6b4KYAh3bzUnHIp5naPfQqF1nuka,clean up,,wash dishes,851778,855055,1,1,3.3,,
553,55,0,jiczVKh0eegPAIhrXm9lWHg9SnrlOwQt,Turn,gas,go to stove,218125,220438,1,0,2.3,,
554,55,1,hlF3Ty61zmncfNCngmb8Gd7nT1xuFtCn,on,gas,turn on fire,223536,226267,1,1,2.7,,
555,55,2,E3RybxqXzARlYAHb8ptPQESuuujkheqL,Turn,gas,turn around,228158,229965,1,1,1.8,,
556,55,3,GtR6tPGjdMTW8xfOubLvAjFQtnBKsJHV,on,gas,turn on stove,232119,235525,1,1,3.4,,
557,55,4,8Fu3ak5fkuyMBnvojGv8N8vpcQIyjbF1,Turn,lid,turn around,245136,246941,1,0,1.8,,
558,55,5,YiLrUm5MstfVXo3YdWQneMidcQUSOawL,on,lid,grab lid,251563,253962,1,0,2.4,,
559,55,6,gMzxTD0FYKuiuaInztmyU8YBMMogKKIm,Turn,lid,turn around,266398,268684,1,0,2.3,,
560,55,7,H4gw3ztCKslcu4w6SlSV8VhUNbWRT0HQ,fetch,onion,take onion,276533,278613,1,0,2.1,,
561,55,8,3onKvfqO6eEdfy1XdqLfkgBQeEGZzJE6,fetch,onion,take onion,280684,283917,1,1,3.2,,
562,55,9,SPbQoVQPnRw2DbJmDpLDh6PcVQBoq260,Turn,carrot,turn around,298885,300871,1,1,2,,
563,55,10,9QBNOrF7Mh0udFP3w2UXLmbWwSumGIDH,fetch,carrot,grab carrot,304650,306595,1,0,1.9,,
564,55,11,bcJiDbdFvFVUEsbhDxxvV2zADOlOFN2m,cut,potato,grab knife,320148,321972,1,1,1.8,,
565,55,12,NKCmnHFVxpmA8895draKrjF8YBouerBM,cut,potato,grab tomato,337875,339803,1,0,1.9,,
566,55,13,8eSKBS6uph4uPm32pGROlDaOL2b6sE96,cut,potato,pick up tomato,341488,343788,1,0,2.3,,
567,55,14,YXBduM6L5AS6t5BQIARIV9vvviIsWAkO,cut,potato,grab tomato,346226,349548,1,1,3.3,,
568,55,15,nYmEyKmsouujklihNl825Zbxr0JVFD73,cut,tomato,pick up tomato,355843,359714,1,1,3.9,,
569,55,16,kfODdvRx4Ypn1Wu8fp6tcsmgREWkUUjT,cut,tomato,pick up tomato,364767,368291,1,0,3.5,,
570,55,17,qqmbAwYzOws7khHe99tAP0viHZi6dMcP,cut,tomato,take tomato,383254,385644,1,1,2.4,,
571,55,18,VsBRs99iw3uQdmoU0PD6tX6kiJPYer4o,cut,tomato,pick up tomato,401817,404843,1,1,3,,
572,55,19,iGOvjlK1fbJCfhQgGTu5zx1LWVoOLfoi,Turn,gas,turn around,430098,431820,1,0,1.7,,
573,55,20,ySCRdo1HDlBLgGKmDiBuY0HASugricTe,on,gas,turn on fire,436555,438491,1,0,1.9,,
574,55,21,ZrsV042QTlnbSj8v5obVmK6dwfekfDzF,Turn,oil,turn around,448968,450784,1,0,1.8,,
575,55,22,bIm5WUUWVEXy1rhs7nis3Zlnh3hx9tPJ,add,oil,pick up oil,454545,456370,1,0,1.8,,
576,55,23,58KyNKyolvMj7rod4H8NU0MOmqLsXvgq,add,oil,grab bottle,459660,461834,1,1,2.2,,
577,55,24,t1TEDxOnHxXDGpT3BKXOE2C0ttKKtJjR,add,oil,grab bottle,466907,469256,1,1,2.3,,
578,55,25,CZDg7VBp3q7yMpb6uxJ1KLIBYNQMc6cR,add,veges,pick up onions,482183,484348,1,0,2.2,,
579,55,26,gNEEOOrQ8wnuMjW8OcybGnRrLxFn7GtK,add,veges,pick up onion,487579,489469,1,1,1.9,,
580,55,27,0xRHGpcmM5Yh1aRtW62bRLBxeH0oSFdG,Turn,veges,turn around,496895,498886,1,0,2,,
581,55,28,g9MrPBhcyQKG0ie8YKVWfuyP0vXAHfDj,add,veges,place onion in pot,502126,504124,1,0,2,,
582,55,29,4JQYC72uTdYFNCgr1W8M5PEwAUmo7vzB,add,veges,put veggies in pan,506235,508498,1,1,2.3,,
583,55,30,QyoMGlHF2wLuzR1C6nD5FCglsvhdt0x2,Turn,salt,turn around,517279,519134,1,0,1.9,,
584,55,31,PhhKcKai62YcFDuAVdhsbnnfzeLBLfPD,add,salt,pick up salt,522613,526424,1,0,3.8,,
585,55,32,9km8fxQTZUiIa8oNJTAfgg9JdeR0BP5q,Turn,pepper,turn around,539967,541873,1,0,1.9,,
586,55,33,37NIP1uDIZqKqtEqWo2qND4yxsXYsBDy,Turn,pepper,turn around,543809,545517,1,0,1.7,,
587,55,34,gBpeq5AxdkKDNTy2wjdLTM70oQ6VRHd4,add,pepper,pick up pepper,549119,552838,1,1,3.7,,
588,55,35,yUviKrvW8fYl87gasVWrH7WoWxHwiIgQ,Turn,veges,turn around,568307,570428,1,0,2.1,,
589,55,36,FDEuJwHtnvileWaC3fCjps9WayYJr9jl,mix,veges,pick up spoon,573095,575874,1,0,2.8,,
590,55,37,Ao5svXNcGh5CY6azKHcVyNQWvbxDkJJp,cut,potato,pick up potato,599410,601513,1,0,2.1,,
591,55,38,74c83dUiJQjVpfhArfBdirCrVnTpmgVe,cut,potato,take potato,603802,608631,1,1,4.8,,
592,55,39,QCa6mQunlSFGvzfjiGpSZNqIwPoxoM7R,cut,potato,pick up potato,611704,615205,1,1,3.5,,
593,55,40,4BGONUXQZJOpQoYv1YU3aOKCKO9oenTr,cut,carrot,pick up carrot,632958,635114,1,0,2.2,,
594,55,41,hTRcapPtiqKIMypzaH8G4wKuEzo4iziL,cut,carrot,pick up celery,650420,652635,1,0,2.2,,
595,55,42,Td3pMBXhOXKnMoIvhC8mStnq7UelVBIB,Turn,lid,turn around,668675,670612,1,0,1.9,,
596,55,43,4zpx030Lu8ZhBcgCNeZAEKQBwuWjYYGV,Turn,lid,turn around,672773,674566,1,1,1.8,,
597,55,44,C6JTjBYWT220KVqKJQRpSVlpM9NsQlBb,off,lid,take lid off pot,677456,679948,1,1,2.5,,
598,55,45,EJ2rMpVeA6nxzTlCO6aQubmTU76nRhPi,add,veges,take veggies,691344,693401,1,0,2.1,,
599,55,46,pLuAfBCGzuHuow0tkbPZdTQRUI3rMA8E,add,veges,put veggies in pot,702979,705243,1,0,2.3,,
600,55,47,Ayn3Cb676CDKCBAUxGjboyhb3uR3aONT,add,veges,slide veggies in pot,710065,712961,1,1,2.9,,
601,55,48,9MjWnSNt8ZfbLwg8WA9uFXf4BgVLGBaA,Turn,gas,turn around,723131,724997,1,0,1.9,,
602,55,49,8u3f7iJt5UYypxhQC9vvSQNovQcaU9vt,Turn,gas,turn around,726158,728331,1,1,2.2,,
603,55,50,GZP3jsYBpiGEz9MWKXBukh2K7SgKW7AP,off,gas,turn off fire,729767,731856,1,0,2.1,,
604,55,51,jGnFm3CQEdT27M56UJsEtIXYipJcP0nz,off,gas,turn off pan fire,735058,738429,1,1,3.4,,
605,55,52,bXYMAqQiAFHZahenJIUtqwvCmImVfrHY,Turn,veges,turn around,746306,748574,1,0,2.3,,
606,55,53,4g5VDJqbF3rGaJd8BS78nYqW71ep8atB,add,veges,pick up pan,750948,755623,1,1,4.7,,
607,55,54,y8kFshrdUVjGa6czNXKBt4okBOiFv9b5,Turn,spice,turn around,767209,769279,1,0,2.1,,
608,55,55,MYvrFiRuxbYSmwA8xNYpXaDpbNtegWIZ,add,spice,grab spices,772028,774490,1,1,2.5,,
609,55,56,eQ2nyqC8SreKAl9LCiCx3ypTQtTgIVKk,Turn,veges,turn around,794507,796505,1,1,2,,
610,55,57,M7Q8sZiKUiW35YtWFHeKjVUueUdiw6d4,Turn,veges,turn around,796608,799894,1,1,3.3,,
611,55,58,hEOJ9ZB5MM9j5pPLXkXqGNrGPdhmEkGc,Turn,veges,turn around,802580,806071,1,1,3.5,,
612,55,59,OiIBRxcU2ys9aXEpgYyzqJyWlAJk8Bsg,go,,face opposite direction,806172,809916,1,1,3.7,,
613,55,60,5ebe2TKoQF6iJBanesQT4FTtc1xwsNke,Turn,,turn around,827880,830700,1,1,2.8,,
614,55,61,adphhCPmIuXl0ikdn91ANMgOQJZ9nJYF,Turn,,turn around,844098,846498,1,1,2.4,,
615,55,62,ZL9nzm3DfQkYtCmRSsqTuPMnbjadsVnl,go,,face opposite direction,850129,854640,1,1,4.5,,
616,55,63,o9qYVodiJjmGazx34ZXgOdNlncj1gFHj,Turn,,turn around,865089,868518,1,1,3.4,,
617,55,64,cRAaVa7SpKCn8jqJXnlr7sv6NSzLEF1G,go,,face opposite way,869986,874195,1,1,4.2,,
618,55,65,C8XUwqnqvJ9WV2c9G9WkvZVLWhWHWvxH,Turn,,turn around,884984,887788,1,1,2.8,,
619,55,66,9rXz1ez9hiIKjFt6sduyVzgMHqfqMz9I,fetch,soup,pick up ladle,901023,904238,1,1,3.2,,
620,55,67,LOI8d56KJRJFjonKLpW6jv92kIu4XOIE,Turn,,turn around,930599,932648,1,0,2,,
621,55,68,4bo5slQoQREA87O3XKFIwr8OrQcj5h2J,clean up,,turn opposite way,935776,939834,1,1,4.1,,
622,55,69,L0OYjP9OYy5viOkRGWGkRLUXqcbNE3iN,clean up,,pick up pot,941542,943709,1,1,2.2,,
623,55,70,svGm7QXGa9YslqWiYi2pdXtlSnhrwrjt,clean up,,wash pot,981912,984190,1,1,2.3,,
624,56,0,tQtDKw12hAqQ9i7QnpOzDKwILbFB1JlR,on,gas,turn back,307500,311921,1,1,4.4,,
625,56,1,tlCag7bjD6oIMepk90aUFz3EflsT8yfZ,on,gas,turn to left,311947,315380,1,1,3.4,,
626,56,2,58wDbbPLPAhdVOxC1liKgk5Nnj4qE25w,on,gas,turn on stove,320450,323396,1,1,2.9,,
627,56,3,Owm2gcVx2i1rE5JyfnMXj7YZwegmg7Wx,on,gas,turn on stove,331915,335140,1,1,3.2,,
628,56,4,B7cnSgHiMnOP0wHya11vC6JM0TF8A1Cn,on,gas,boil water,356820,359709,1,0,2.9,,
629,56,5,YsuC9ClyCDdOVFXn6cmegfXUwX3v36j9,on,gas,turn on stove,370096,372964,1,0,2.9,,
630,56,6,VUOeIFQi9UGmrbRoGp3ZMkvIdVVzLpuW,on,gas,put pot on stove,380213,383779,1,1,3.6,,
631,56,7,sQ7Fv064vy25uA8LSP1O64XvLqy7TpbX,on,gas,turn on stove,389705,392351,1,1,2.6,,
632,56,8,3rfqC9JOpTqqd0kUXdpuZgD82DAcuSI4,on,lid,put cover on pot,410071,413415,1,1,3.3,,
633,56,9,8MWpqDw89nz0wPuN1QNbXyfA4U9nG7m6,on,lid,pick up the cover,421611,424951,1,1,3.3,,
634,56,10,TU6SJy1DfoUo7lTtvVQFuLpsjIoNBuwW,on,lid,pick up top of pot,426998,433438,1,1,6.4,,
635,56,11,zVyYauIZDf34vKwqohMsetDmaw2AYjx3,on,lid,cover the pot,443793,447364,1,1,3.6,,
636,56,12,LV3h2UuD8oTU7brvKVH2HrEkoXtMVQ5U,on,lid,cover the pot on stove,447677,450784,1,1,3.1,,
637,56,13,YCbpYZRUHV6j6ZXZIQiI07JccqCymFeL,on,lid,find cover on pot,462711,467637,1,1,4.9,,
638,56,14,9Q23Gb23RvI6Xsj3tOGbgoHlNjWhKQNd,on,lid,put cover on pot,469412,472688,1,1,3.3,,
639,56,15,XIWC9eiQ6nXK1xLuAzmicDfHb2HOsObC,fetch,onion,get onion,490737,493217,1,1,2.5,,
640,56,16,6xANuq7yeBH3w72WQtCLOolANSBv76eh,fetch,onion,pick up onion,500959,503171,1,1,2.2,,
641,56,17,JGd6j8V00afa77DDPS60Bh9Kv0ru0fhR,fetch,onion,put on cutting board,506514,508923,1,1,2.4,,
642,56,18,msilH13shcM10NWxnDZoTcTzbdyKyPWJ,fetch,carrot,pick up carrot,520115,522336,1,1,2.2,,
643,56,19,vhYS5lFB51GS1IdzW6ieNzEub2kxrr5W,fetch,carrot,pick up carrot,528220,530101,1,1,1.9,,
644,56,20,XjXFO06HaWjQQvgIIShGS2XZVdL3fvc6,cut,onion,cut onion,544707,546918,1,1,2.2,,
645,56,21,J8tcfOM8vucByLbvvSFGNUH11sDdsXRj,cut,tomato,cut tomato,561038,564008,1,0,3,,
646,56,22,awsN4hVlDZ2N4grRcCwZyzEIMx7lpz3t,cut,tomato,pick up tomato,567893,569930,1,1,2,,
647,56,23,AFNPAovJNSphzf3Bn01JmycLqqGFuaPI,cut,tomato,pick up tomato,573532,576605,1,1,3.1,,
648,56,24,JHxBhxJfLI1mwELkjgrhK4TqlbG7fBOM,cut,tomato,find the tomato,583347,585638,1,1,2.3,,
649,56,25,z4DYLkEVoCqTGfNpObeAMsggNicLENvL,cut,tomato,cut the tomato,596819,599348,1,0,2.5,,
650,56,26,nXtv2wqe2K5HW7U07lvuqXyR9dbi4XoI,cut,tomato,pick up tomato,605790,608131,1,0,2.3,,
651,56,27,oo3TxVMyo2jWhDUK7BgEvVQQu9350pVP,cut,tomato,put tomato on cutting board,610657,613401,1,1,2.7,,
652,56,28,zaedCVhIObmnGWk3YtyNwi3NcWAAH0oi,add,veges,find frying pan,639737,642217,1,0,2.5,,
653,56,29,dTVIc0aakPc8ETAYAEYUStm9B7MZTOsV,add,veges,turn on stove for pan,643915,648612,1,1,4.7,,
654,56,30,dEPooIoYlfOg9TtWJ2zJ6YNkyy8LZiKo,add,oil,pour oil into pan,659973,663616,1,1,3.6,,
655,56,31,Hv5GN1xux6wtp7pMkvy2UZzloKWwkSlV,add,oil,pick up oil,667638,669708,1,1,2.1,,
656,56,32,qUzL7QDjZD78SJk2iNuvvpuo6OAQj5yP,add,veges,put onions in pan,686922,690327,1,1,3.4,,
657,56,33,qI1jWY3qPJG49EYVHjLHI6ReNBTfJT2f,add,veges,pick up onions,694157,697244,1,1,3.1,,
658,56,34,BvTifFRhpYd1gPBB9vqOBt2YoxXcHkW2,add,veges,put onions in pan,702395,704519,1,1,2.1,,
659,56,35,EGIV86erlGvN3LMFndpEpkI27VVCgy1X,add,veges,put onions and tomato in pan,708241,712795,1,1,4.6,,
660,56,36,JX59AEW4jC7t6xuaB0xDxRX9NZLbY07c,add,veges,put onion and tomato in pan,716772,718953,1,1,2.2,,
661,56,37,w6ba0vnMpNyz6Ho5YBQNo8KOMTSx6dnX,add,salt,pick up salt,733943,738769,1,1,4.8,,
662,56,38,odRKN30sxX1c49MRWtTSYPm9R00iYSxX,add,salt,put salt in pan,740069,743057,1,1,3,,
663,56,39,jYOA63glMCcSqZ8xixDpws2lowDFPUHi,add,salt,pick up salt,746474,748774,1,1,2.3,,
664,56,40,DJCxwEVMDcpBwCOSaBlgBcQpTo3gE62M,add,pepper,"put pepper in pan, find pepper",763521,769635,1,1,6.1,,
665,56,41,R80SRWsRCu3eq6LNm4weI5Hgq9yq9rbr,add,pepper,pick up pepper,771437,773711,1,1,2.3,,
666,56,42,EE0ZGGovhFTiyFwGWRJ56UErLFpwk1LO,Turn,veges,go to pan,792718,795981,1,1,3.3,,
667,56,43,CbGptz8x17TSAnOQPNaPgoUKdKPXJO6J,mix,veges,mix the veggies,798034,801552,1,1,3.5,,
668,56,44,enslSYYgOJEoVWClxQB9ldSmerfPu7l5,cut,potato,cut the potato,827173,829722,1,1,2.5,,
669,56,45,1tbCCJuV5DcK5ZDAQEggbdCDrazCAvaV,cut,potato,cut the potato,833131,834891,1,0,1.8,,
670,56,46,kTF1riRRwEI3fiDlD6xJo7o5zRDCyr1Y,cut,potato,pick up potato,837948,840601,1,1,2.7,,
671,56,47,3w1Jzf6Hk5yNOiigUpvNZU9o3ZkdUp88,cut,potato,cut the potato,841626,843561,1,1,1.9,,
672,56,48,UuZIn4aPn5onmbhVSB2kEg9xqKozUl5c,cut,carrot,pick up carrot,858860,861809,1,1,2.9,,
673,56,49,f4f1yz5PMQ0VVkLd9y7DcBpGNrD1VllN,cut,carrot,cut the carrot,863992,865817,1,0,1.8,,
674,56,50,rv3PYM0vEu6dhHBfMHT4IR1qCF4QS83t,cut,celery,pick up celery,876729,879515,1,0,2.8,,
675,56,51,Q1V2BxNceBzE4RIrq0FdmCpYQUQpD13K,cut,celery,pick up celery,880010,883128,1,1,3.1,,
676,56,52,3yE0XHkkMPOicu4VpogrQAQEMh5ZJi2I,add,veges,find the pot,898677,902241,1,1,3.6,,
677,56,53,Cl9L8bVdhSaK9hv7pfTPsFM0KIe5Iuc4,Turn,veges,go to pot,902275,904459,1,1,2.2,,
678,56,54,0w9Dy8ClocwmPYS4EPiPkF0meUUV9otI,add,veges,open the pot,906079,908121,1,1,2,,
679,56,55,Vlu6PikTVgQz8iW7vifsNRS5RSxlAWVs,add,veges,pick up celery carrots and potatoes,925305,929440,1,1,4.1,,
680,56,56,ULYsVGOTrqzBvj4yGQNzw2TcijAOKhNH,Turn,veges,go to the pot,933244,935636,1,1,2.4,,
681,56,57,l74Wq9dfAiOMaNFfUjOhrDw8Rv1cTf7d,add,veges,pour into pot,935752,938008,1,1,2.3,,
682,56,58,QB4wD7rIoN15G6GkTTwTtEG0CrPshxh4,Turn,gas,go to pan,950471,953285,1,1,2.8,,
683,56,59,Tiiqlh63JFObc8M5Tb1Rzp0Grkiu8Vna,off,gas,turn stove off,953516,956979,1,1,3.5,,
684,56,60,CliJI1xxp4ZoJdNIDtRKygL3AH1LxPAC,add,veges,pick up pan,967127,970495,1,1,3.4,,
685,56,61,Kgg0RRbJ4jqrlPJczGWQg6xb6QhoeBMt,add,veges,pour pan stuff into pot,972900,975837,1,1,2.9,,
686,56,62,lmsDikMOuBRra7KTUrYZnj6MXajjWc8Q,Turn,spice,go to the spices,995629,999035,1,1,3.4,,
687,56,63,e8U7kxkX2Z9TerJ68eNS5osYLxVPDDIS,add,spice,pour spices pot,1000034,1002805,1,1,2.8,,
688,56,64,V9q8YeKffAGA9hL0j2DPgdM0Epx8CgWj,Turn,veges,go to pot,1023181,1025159,1,1,2,,
689,56,65,qiIbZh7UEdY46cQnjrnZ8ITbJo9AOH1i,Turn,veges,go to pot,1025940,1028218,1,1,2.3,,
690,56,66,eXTxcthODMkUGNnlRwmUDxQV5E5C6qGG,mix,veges,find the pot,1028406,1031352,1,1,2.9,,
691,56,67,mwr67PhsNNjLNu8CYdhN9gaJZzYRN0jb,mix,veges,stir the pot,1034134,1037103,1,1,3,,
692,56,68,aCLPOrS2NKEiPgJTPAQ1HeSX7K98ZoT9,on,lid,put cover on pot,1060755,1063628,1,1,2.9,,
693,56,69,Dl46Sf64nALzpFsrlaZo239uMbXjBI0F,off,gas,turn stove off,1088446,1091414,1,1,3,,
694,56,70,NOR5oSGeELuJkUv7OLFxaoE9PUdaYb4C,off,lid,take cover off pot,1104904,1108273,1,1,3.4,,
695,56,71,qRC0OuI7sFNI0uTXfVV1TyiBlgMSCwXf,fetch,soup,get a bowl,1123446,1127514,1,1,4.1,,
696,56,72,ygFSVwegg6JcThUMoxzvP9yYvqYkWhvD,fetch,soup,put soup into bowl,1127703,1130555,1,1,2.9,,
697,56,73,URpNlHDx2eaPczWeDEfGduFoIYPm09Og,fetch,soup,pick up bowl,1133193,1135152,1,1,2,,
698,56,74,JapBcHjkxczOzM5n9QS726HBahX3kz3J,fetch,soup,pick up ladle,1141725,1144806,1,1,3.1,,
699,56,75,u3GHtvZvoSJnxuoEJBFmpsM5e0ZeIAUB,fetch,soup,put soup into bowl,1144854,1148630,1,1,3.8,,
700,56,76,8fkLLjVF32hBOTcu9ZaihfVlzTZGLfDM,fetch,soup,clean up,1181234,1182965,1,0,1.7,,
701,56,77,KRFw7zrX7EQmpcCKjcKt82nzh9dYytPj,clean up,,put spoon into sink,1211732,1214927,1,1,3.2,,
702,56,78,B2jlQ3Cb9m3unEGdnpisGxnhOJgSFuYo,clean up,,wipe the counter,1215947,1218235,1,1,2.3,,
703,56,79,mj9GokHvR6DMoESqwSsBWC8Jzwpkg67f,clean up,,wipe the counter,1219674,1223796,1,1,4.1,,
704,57,0,WMKByeFTVHnZhlrTqleKwZSblVPaqKA0,on,gas,boil water,244851,247188,1,0,2.3,,
705,57,1,N1wpLJOoGYJwXQt4ThR7FawLpig5rGBB,on,gas,turn on stove,250316,252276,1,1,2,,
706,57,2,3ImGd1bP0OJGXKj3b5iD2lgAzbuLUaz6,on,gas,turn on stove,255983,258149,1,1,2.2,,
707,57,3,Rakuxkm8D13DjkW4rxim2eVqN5KcK1CK,on,gas,turn on gas,262799,264935,1,1,2.1,,
708,57,4,trvjzjkMLcZPzt7ZGyd7Lv7H0Ap7PO7v,on,lid,put lid on pot,275282,277434,1,0,2.2,,
709,57,5,eBrRcMui2KsnzyNjmVTFFy5Dpx0mvfQV,Turn,lid,go to stove,280437,282177,1,1,1.7,,
710,57,6,1af040dccb9a4131b9fa2dc6844ec35d,on,lid,"take the lid, put on pot",284920,287440,1,1,2.5,,
711,57,7,g21BhdUbhZNIJLRx8OuZUnQ7dEMrrAve,fetch,onion,get an onion,301164,303393,1,0,2.2,,
712,57,8,94d83f4c50084ebcac40240e1d433084,fetch,onion,"take the onion, bring to cutting board",309880,312720,1,1,2.8,,
713,57,9,PItZwqeFY542zpBdUUyuUPDWHgUlGxj9,fetch,carrot,get carrots,328235,330727,1,1,2.5,,
714,57,10,8724acf1e93e4e1d99fced86108a44ca,fetch,carrot,"grab carrot, bring to cutting board",334480,336480,1,1,2,,
715,57,11,ApjwfvHj6pX33Al6uNKJqqGvkqa9AyXj,cut,onion,cut onion,348012,350066,1,0,2.1,,
